value_set_id,code,label_en,value_iri
dsq-freq-0-4,0,none of the time,https://w3id.org/pcnn/vs/dsq-freq-0-4/0
dsq-freq-0-4,1,a little of the time,https://w3id.org/pcnn/vs/dsq-freq-0-4/1
dsq-freq-0-4,2,about half the time,https://w3id.org/pcnn/vs/dsq-freq-0-4/2
dsq-freq-0-4,3,most of the time,https://w3id.org/pcnn/vs/dsq-freq-0-4/3
dsq-freq-0-4,4,all of the time,https://w3id.org/pcnn/vs/dsq-freq-0-4/4
dsq-sev-1-4,1,mild,https://w3id.org/pcnn/vs/dsq-sev-1-4/1
dsq-sev-1-4,2,moderate,https://w3id.org/pcnn/vs/dsq-sev-1-4/2
dsq-sev-1-4,3,severe,https://w3id.org/pcnn/vs/dsq-sev-1-4/3
dsq-sev-1-4,4,very severe,https://w3id.org/pcnn/vs/dsq-sev-1-4/4
cis-1-7,1,"yes, that is true",https://w3id.org/pcnn/vs/cis-1-7/1
cis-1-7,2,2,https://w3id.org/pcnn/vs/cis-1-7/2
cis-1-7,3,3,https://w3id.org/pcnn/vs/cis-1-7/3
cis-1-7,4,4,https://w3id.org/pcnn/vs/cis-1-7/4
cis-1-7,5,5,https://w3id.org/pcnn/vs/cis-1-7/5
cis-1-7,6,6,https://w3id.org/pcnn/vs/cis-1-7/6
cis-1-7,7,"no, that is not true",https://w3id.org/pcnn/vs/cis-1-7/7
yes-no,1,Yes,https://w3id.org/pcnn/vs/yes-no/1
yes-no,0,No,https://w3id.org/pcnn/vs/yes-no/0
yes-no-unknown,1,Yes,https://w3id.org/pcnn/vs/yes-no-unknown/1
yes-no-unknown,0,No,https://w3id.org/pcnn/vs/yes-no-unknown/0
yes-no-unknown,3,I don't know,https://w3id.org/pcnn/vs/yes-no-unknown/3
yes-no-recovered,1,Yes,https://w3id.org/pcnn/vs/yes-no-recovered/1
yes-no-recovered,0,No,https://w3id.org/pcnn/vs/yes-no-recovered/0
yes-no-recovered,3,"Not anymore, I have recovered",https://w3id.org/pcnn/vs/yes-no-recovered/3
smokingstatus-6,1,No,https://w3id.org/pcnn/vs/smokingstatus-6/1
smokingstatus-6,2,"No, but I have smoked in the past",https://w3id.org/pcnn/vs/smokingstatus-6/2
smokingstatus-6,3,"Yes, occasionally",https://w3id.org/pcnn/vs/smokingstatus-6/3
smokingstatus-6,4,"Daily, less than 10 cigarettes/cigars per day",https://w3id.org/pcnn/vs/smokingstatus-6/4
smokingstatus-6,5,"Daily, 10 or more cigarettes/cigars per day",https://w3id.org/pcnn/vs/smokingstatus-6/5
smokingstatus-6,6,"Daily, e-cigarettes/vapes only",https://w3id.org/pcnn/vs/smokingstatus-6/6
paidjob-4,1,Yes,https://w3id.org/pcnn/vs/paidjob-4/1
paidjob-4,0,No,https://w3id.org/pcnn/vs/paidjob-4/0
paidjob-4,3,"Yes, but I have been reported sick (partly) due to long-term complaints",https://w3id.org/pcnn/vs/paidjob-4/3
